year,animal,start_date,end_date,yinyang,element,heavenly_stem,earthly_branch
1940,dragon,feb 08 1940,jan 26 1941,yang,metal,庚,辰
1941,snake,jan 27 1941,feb 14 1942,yin,metal,辛,巳
1942,horse,feb 15 1942,feb 04 1943,yin,water,壬,午
1943,goat,feb 05 1943,jan 24 1944,yang,water,癸,未
1944,monkey,jan 25 1944,feb 12 1945,yang,wood,甲,申
1945,rooster,feb 13 1945,feb 01 1946,yin,wood,乙,酉
1946,dog,feb 02 1946,jan 21 1947,yin,fire,丙,戌
1947,pig,jan 22 1947,feb 09 1948,yang,fire,丁,亥
1948,rat,feb 10 1948,jan 28 1949,yang,earth,戊,子
1949,ox,jan 29 1949,feb 16 1950,yin,earth,己,丑
1950,tiger,feb 17 1950,feb 05 1951,yin,metal,庚,寅
1951,rabbit,feb 06 1951,jan 26 1952,yang,metal,辛,卯
1952,dragon,jan 27 1952,feb 13 1953,yang,water,壬,辰
1953,snake,feb 14 1953,feb 02 1954,yin,water,癸,巳
1954,horse,feb 03 1954,jan 23 1955,yin,wood,甲,午
1555,goat,jan 24 1955,feb 11 1956,yang,wood,乙,未
1956,monkey,feb 12 1956,jan 30 1957,yang,fire,丙,申
1957,rooster,jan 31 1957,feb 17 1958,yin,fire,丁,酉
1958,dog,feb 18 1958,feb 07 1959,yin,earth,戊,戌
1959,pig,feb 08 1959,jan 27 1960,yang,earth,己,亥
1960,rat,jan 28 1960,feb 14 1961,yang,metal,庚,子
1961,ox,feb 15 1961,feb 04 1962,yin,metal,辛,丑
1962,tiger,feb 05 1962,jan 24 1963,yin,water,壬,寅
1963,rabbit,jan 25 1963,feb 12 1964,yang,water,癸,卯
1964,dragon,feb 13 1964,feb 01 1965,yang,wood,甲,辰
1965,snake,feb 02 1965,jan 20 1966,yin,wood,乙,巳
1966,horse,jan 21 1966,feb 08 1967,yin,fire,丙,午
1967,goat,feb 09 1967,jan 29 1968,yang,fire,丁,未
1968,monkey,jan 30 1968,feb 16 1969,yang,earth,戊,申
1969,rooster,feb 17 1969,feb 05 1970,yin,earth,己,酉
1970,dog,feb 06 1970,jan 26 1971,yin,metal,庚,戌
1971,pig,jan 27 1971,feb 14 1972,yang,metal,辛,亥
1972,rat,feb 15 1972,feb 02 1973,yang,water,壬,子
1973,ox,feb 03 1973,jan 22 1974,yin,water,癸,丑
1974,tiger,jan 23 1974,feb 10 1975,yin,wood,甲,寅
1975,rabbit,feb 11 1975,jan 30 1976,yang,wood,乙,卯
1976,dragon,jan 31 1976,feb 17 1977,yang,fire,丙,辰
1977,snake,feb 18 1977,feb 06 1978,yin,fire,丁,巳
1978,horse,feb 07 1978,jan 27 1979,yin,earth,戊,午
1979,goat,jan 28 1979,feb 15 1980,yang,earth,己,未
1980,monkey,feb 16 1980,feb 04 1981,yang,metal,庚,申
1981,rooster,feb 05 1981,jan 24 1982,yin,metal,辛,酉
1982,dog,jan 25 1982,feb 12 1983,yin,water,壬,戌
1983,pig,feb 13 1983,feb 01 1984,yang,water,癸,亥
1984,rat,feb 02 1984,jan 21 1985,yang,wood,甲,子
1985,ox,jan 22 1985,feb 08 1986,yin,wood,乙,丑
1986,tiger,feb 09 1986,jan 28 1987,yin,fire,丙,寅
1987,rabbit,jan 29 1987,feb 16 1988,yang,fire,丁,卯
1988,dragon,feb 17 1988,feb 05 1989,yang,earth,戊,辰
1989,snake,feb 06 1989,jan 26 1990,yin,earth,己,巳
1990,horse,jan 27 1990,feb 14 1991,yin,metal,庚,午
1991,goat,feb 15 1991,feb 03 1992,yang,metal,辛,未
1992,monkey,feb 04 1992,jan 22 1993,yang,water,壬,申
1993,rooster,jan 23 1993,feb 09 1994,yin,water,癸,酉
1994,dog,feb 10 1994,jan 30 1995,yin,wood,甲,戌
1995,pig,jan 31 1995,feb 18 1996,yang,wood,乙,亥
1996,rat,feb 19 1996,feb 06 1997,yang,fire,丙,子
1997,ox,feb 07 1997,jan 27 1998,yin,fire,丁,丑
1998,tiger,jan 28 1998,feb 15 1999,yin,earth,戊,寅
1999,rabbit,feb 16 1999,feb 04 2000,yang,earth,己,卯
2000,dragon,feb 05 2000,jan 23 2001,yang,metal,庚,辰
2001,snake,jan 24 2001,feb 11 2002,yin,metal,辛,巳
2002,horse,feb 12 2002,jan 31 2003,yin,water,壬,午
2003,goat,feb 01 2003,jan 21 2004,yang,water,癸,未
2004,monkey,jan 22 2004,feb 08 2005,yang,wood,甲,申
2005,rooster,feb 09 2005,jan 28 2006,yin,wood,乙,酉
2006,dog,jan 29 2006,feb 17 2007,yin,fire,丙,戌
2007,pig,feb 18 2007,feb 06 2008,yang,fire,丁,亥
2008,rat,feb 07 2008,jan 25 2009,yang,earth,戊,子
2009,ox,jan 26 2009,feb 13 2010,yin,earth,己,丑
2010,tiger,feb 14 2010,feb 02 2011,yin,metal,庚,寅
2011,rabbit,feb 03 2011,jan 22 2012,yang,metal,辛,卯
2012,dragon,jan 23 2012,feb 09 2013,yang,water,壬,辰
2013,snake,feb 10 2013,jan 30 2014,yin,water,癸,巳
2014,horse,jan 31 2014,feb 18 2015,yin,wood,甲,午
2015,goat,feb 19 2015,feb 07 2016,yang,wood,乙,未
2016,monkey,feb 19 2015,feb 07 2016,yang,fire,丙,申
2017,rooster,jan 28 2017,feb 15 2018,yin,fire,丁,酉
2018,dog,feb 16 2018,feb 04 2019,yin,earth,戊,戌
2019,pig,feb 05 2019,jan 24 2020,yang,earth,己,亥
2020,rat,jan 25 2020,feb 11 2021,yang,metal,庚,子
2021,ox,feb 12 2021,jan 31 2022,yin,metal,辛,丑
2022,tiger,feb 01 2022,jan 21 2023,yin,water,壬,寅
2023,rabbit,jan 22 2023,feb 09 2024,yang,water,癸,卯
2024,dragon,feb 10 2024,jan 28 2025,yang,wood,甲,辰
